class_id,class_name,count,percentage
0,no_animal,1284,4.452767374115689
1,red_deer,18442,63.95477874878623
2,roe_deer,1216,4.216951033430434
3,chamois,1432,4.9660147038424185
4,human,2826,9.800249687890137
5,alpine_ibex,1306,4.529060896102095
6,fallow_deer,2330,8.080177555832986
