class_id,class_name,count,percentage
0,no_animal,1647,2.322269535546093
1,red_deer,27696,39.05135218972956
2,roe_deer,3615,5.097148980570204
3,chamois,5111,7.206508558698288
4,human,23686,33.39725332054934
5,alpine_ibex,3355,4.730549053890189
6,fallow_deer,3779,5.328388934322213
7,unknown,1187,1.673669665266067
8,dog,846,1.1928597614280476
